"","number","area","year","species","type","InpN","lenbin","obs_value","label","pred_value","nll","pearson"
"188",1,1,52,"Blue_whiting",0,815,3,0.439263803680982,"catch",0.0652282,-682.78,1.46451979685484
"189",1,1,52,"Blue_whiting",0,815,4,0.525153374233129,"catch",0.00535581,-1962.6,7.10267035910783
"190",1,1,52,"Blue_whiting",0,815,5,0.0049079754601227,"catch",1.82867e-12,-86.8421,3629.39897576932
"191",1,1,53,"Blue_whiting",0,799,1,1e-05,"catch",0.395053,0.0845677,-0.628516507542269
"192",1,1,53,"Blue_whiting",0,799,2,0.0250312891113892,"catch",0.44384,57.5067,-0.628640687441019
"193",1,1,53,"Blue_whiting",0,799,3,0.440550688360451,"catch",0.149321,-380.839,0.75365953947746
"194",1,1,53,"Blue_whiting",0,799,4,0.530663329161452,"catch",0.0117862,-1614.25,4.77944672795265
"195",1,1,53,"Blue_whiting",0,799,5,0.00375469336670839,"catch",1.77512e-12,-64.4172,2818.12736181512
"196",1,1,54,"Blue_whiting",0,816,1,1e-05,"catch",0.264905,0.0831059,-0.514669797421117
"197",1,1,54,"Blue_whiting",0,816,2,0.0294117647058824,"catch",0.466798,66.348,-0.640177812568727
"198",1,1,54,"Blue_whiting",0,816,3,0.441176470588235,"catch",0.243736,-213.609,0.399922959572423
"199",1,1,54,"Blue_whiting",0,816,4,0.528186274509804,"catch",0.024561,-1322.43,3.21354580468055
"200",1,1,54,"Blue_whiting",0,816,5,0.00122549019607843,"catch",1.77296e-12,-20.354,920.365587153602
"201",1,1,55,"Blue_whiting",0,813,1,1e-05,"catch",0.191973,0.0801823,-0.438124412149
"202",1,1,55,"Blue_whiting",0,813,2,0.029520295202952,"catch",0.439379,64.8068,-0.618321738326599
"203",1,1,55,"Blue_whiting",0,813,3,0.439114391143911,"catch",0.325847,-106.505,0.19842575168478
"204",1,1,55,"Blue_whiting",0,813,4,0.526445264452645,"catch",0.0428009,-1074.1,2.33775869507895
"205",1,1,55,"Blue_whiting",0,813,5,0.00492004920049201,"catch",1.73535e-12,-87.0615,3734.87357439278
"206",1,1,56,"Blue_whiting",0,807,1,1e-05,"catch",0.128321,0.0763398,-0.358191290764161
"207",1,1,56,"Blue_whiting",0,807,2,0.0309789343246592,"catch",0.402811,64.129,-0.585863144694331
"208",1,1,56,"Blue_whiting",0,807,3,0.436183395291202,"catch",0.401597,-29.0799,0.0545770516767676
"209",1,1,56,"Blue_whiting",0,807,4,0.527881040892193,"catch",0.067271,-877.62,1.77590389255416
