"","survey","year","species","sizebin","inpN","prey","value","obs"
"311",1,8,"Blue_whiting",3,100,"Saithe",1e-06,0
"312",1,8,"Blue_whiting",3,100,"allotherprey",0.947906583213391,92
"313",1,8,"Blue_whiting",4,100,"Blue_whiting",1e-06,0
"314",1,8,"Blue_whiting",4,100,"Capelin",0.00612524660692402,0
"315",1,8,"Blue_whiting",4,100,"Green_halibut",1e-06,0
"316",1,8,"Blue_whiting",4,100,"Haddock",1e-06,0
"317",1,8,"Blue_whiting",4,100,"Long_rough_dab",1e-06,0
"318",1,8,"Blue_whiting",4,100,"Mackerel",1e-06,0
"319",1,8,"Blue_whiting",4,100,"North_atl_cod",1e-06,0
"320",1,8,"Blue_whiting",4,100,"Norwegian_ssh",0.000660928804829257,12
"321",1,8,"Blue_whiting",4,100,"Polar_cod",1e-06,0
"322",1,8,"Blue_whiting",4,100,"Redfish",0.0617438212021806,3
"323",1,8,"Blue_whiting",4,100,"Saithe",1e-06,0
"324",1,8,"Blue_whiting",4,100,"allotherprey",0.931470003386066,85
"325",1,8,"Blue_whiting",5,100,"Blue_whiting",1e-06,0
"326",1,8,"Blue_whiting",5,100,"Capelin",0.00617459906671498,0
"327",1,8,"Blue_whiting",5,100,"Green_halibut",1e-06,0
"328",1,8,"Blue_whiting",5,100,"Haddock",1e-06,0
"329",1,8,"Blue_whiting",5,100,"Long_rough_dab",1e-06,0
"330",1,8,"Blue_whiting",5,100,"Mackerel",1e-06,0
"331",1,8,"Blue_whiting",5,100,"North_atl_cod",1e-06,0
"332",1,8,"Blue_whiting",5,100,"Norwegian_ssh",0.000751391551245831,11
"333",1,8,"Blue_whiting",5,100,"Polar_cod",1e-06,0
"334",1,8,"Blue_whiting",5,100,"Redfish",0.062782941706184,4
"335",1,8,"Blue_whiting",5,100,"Saithe",1e-06,0
"336",1,8,"Blue_whiting",5,100,"allotherprey",0.930291067675855,85
"337",1,9,"Blue_whiting",3,100,"Blue_whiting",1e-06,0
"338",1,9,"Blue_whiting",3,100,"Capelin",0.00916794412201555,0
"339",1,9,"Blue_whiting",3,100,"Green_halibut",1e-06,0
"340",1,9,"Blue_whiting",3,100,"Haddock",1e-06,0
"341",1,9,"Blue_whiting",3,100,"Long_rough_dab",1e-06,0
"342",1,9,"Blue_whiting",3,100,"Mackerel",1e-06,0
"343",1,9,"Blue_whiting",3,100,"North_atl_cod",1e-06,0
"344",1,9,"Blue_whiting",3,100,"Norwegian_ssh",0.000144177470461706,1
