"","number","year","species","data","cv","predicted","residual","nll","numero"
"292",1,52,4,1393860,0.1,3989260000,-7.95928,3180.27,1000
"293",1,53,4,1396850,0.1,3175970000,-7.72915,2999.75,1000
"294",1,54,4,1252710,0.1,631584000,-6.22292,1948.9,1000
"295",1,55,4,1385770,0.1,5859650000,-8.34959,3498.54,1000
"296",1,56,4,1378920,0.1,212719000,-5.03868,1282.17,1000
"297",1,57,4,1561450,0.1,46484300,-3.3935,588.669,1000
"298",1,58,4,1519290,0.1,384208000,-5.53294,1543.52,1000
"299",1,59,4,2300250,0.1,26777100,-2.45453,314.501,1000
"300",1,60,4,1942400,0.1,3631200,-0.62564,32.667,1000
"301",1,61,4,1954940,0.1,15856800000,-9.00099,4063.99,1000
"302",1,62,4,1821300,0.1,16167400,-2.18345,251.404,1000
"303",1,63,4,1593460,0.1,67990.3,3.1543,510.378,1000
"304",1,64,4,1365320,0.1,25347400,-2.92128,439.438,1000
"305",1,65,4,1054130,0.1,41446000,-3.67167,686.543,1000
"306",1,66,4,1094990,0.1,1065430,0.0273666,12.5601,1000
"307",1,67,4,925523,0.1,1054530,-0.130496,13.2059,1000
"308",1,68,4,824350,0.1,161897000,-5.28012,1406.22,1000
"309",1,69,4,835372,0.1,109622000,-4.87692,1201.47,1000
"310",1,70,4,688922,0.1,1430230,-0.730461,38.7379,1000
"311",1,71,4,622646,0.1,612711000,-6.89167,2386.71,1000
"312",1,72,4,552929,0.1,8918170,-2.78062,398.431,1000
"313",1,73,4,486609,0.1,559696000,-7.04769,2495.21,1000
"314",1,74,4,400680,0.1,13716400,-3.53319,635.688,1000
"315",1,75,4,315105,0.1,170553000,-6.2939,1991.93,1000
"316",1,76,4,319809,0.1,121993000,-5.944,1777.85,1000
"317",1,77,4,285307,0.1,550.25,6.25095,1964.9,1000
"318",1,78,4,287329,0.1,18325.3,2.75235,389.955,1000
"319",1,79,4,312309,0.1,48919.9,1.85381,183.098,1000
"320",1,80,4,344106,0.1,143536,0.874364,49.5907,1000
"321",1,1,5,961152,0.1,79670800,-4.41753,988.119,1000
"322",1,2,5,1066660,0.1,9225470000,-9.06519,4121.38,1000
"323",1,3,5,1329530,0.1,52648200000,-10.5866,5616.48,1000
"324",1,4,5,1261580,0.1,1.40809e+11,-11.6228,6767.13,1000
"325",1,5,5,1525140,0.1,2.81639e+11,-12.1263,7365.2,1000
"326",1,6,5,1082720,0.1,4.43722e+11,-12.9235,8363.33,1000
"327",1,7,5,1048340,0.1,5.21479e+11,-13.1172,8615.54,1000
"328",1,8,5,1401720,0.1,5.39998e+11,-12.8616,8283.84,1000
"329",1,9,5,1412730,0.1,5.2308e+11,-12.822,8232.92,1000
"330",1,10,5,986166,0.1,5.31668e+11,-13.1977,8721.39,1000
"331",1,11,5,1066460,0.1,6.05582e+11,-13.2496,8790.09,1000
"332",1,12,5,1308810,0.1,6.76737e+11,-13.1559,8666.61,1000
"333",1,13,5,1286960,0.1,7.63439e+11,-13.2933,8848.29,1000
"334",1,14,5,1228510,0.1,8.02421e+11,-13.3896,8976.69,1000
"335",1,15,5,1584950,0.1,7.86324e+11,-13.1146,8612.49,1000
"336",1,16,5,1365580,0.1,7.5056e+11,-13.217,8747.19,1000
"337",1,17,5,1336590,0.1,7.33143e+11,-13.215,8744.5,1000
"338",1,18,5,1306080,0.1,7.60247e+11,-13.2744,8823.14,1000
"339",1,19,5,1287740,0.1,7.56644e+11,-13.2838,8835.59,1000
"340",1,20,5,1548050,0.1,7.72347e+11,-13.1202,8619.84,1000
"341",1,21,5,1237430,0.1,8.41609e+11,-13.43,9030.94,1000
"342",1,22,5,1321440,0.1,8.59351e+11,-13.3852,8970.91,1000
"343",1,23,5,1498780,0.1,8.33002e+11,-13.2281,8762.02,1000
"344",1,24,5,1571070,0.1,7.80123e+11,-13.1155,8613.64,1000
"345",1,25,5,1397720,0.1,7.17211e+11,-13.1483,8656.63,1000
"346",1,26,5,1381010,0.1,6.56254e+11,-13.0715,8555.94,1000
"347",1,27,5,1766630,0.1,6.02843e+11,-12.7403,8128.81,1000
"348",1,28,5,1707040,0.1,6.15571e+11,-12.7955,8199.27,1000
"349",1,29,5,1555080,0.1,7.60263e+11,-13.0999,8593.24,1000
"350",1,30,5,1532750,0.1,9.52669e+11,-13.34,8910.58,1000
"351",1,31,5,1790590,0.1,1.12469e+12,-13.3505,8924.78,1000
"352",1,32,5,1507450,0.1,1.16114e+12,-13.5545,9199.06,1000
"353",1,33,5,1505690,0.1,1.10501e+12,-13.5061,9133.59,1000
"354",1,34,5,1556390,0.1,1.01856e+12,-13.3915,8979.52,1000
"355",1,35,5,1512350,0.1,9.29725e+11,-13.329,8895.93,1000
"356",1,36,5,1855720,0.1,8.46648e+11,-13.0308,8503.1,1000
"357",1,37,5,1840430,0.1,7.76615e+11,-12.9527,8401.67,1000
