number,area,year,species,type,InpN,lenbin,obs_value,label,pred_value,nll,pearson,resid,res_abs,prey
1,1,58,1,0,816,4,0.529411765,catch,0.122486,-632.349,1.162711485,1,1.162711485,-99
1,1,58,1,0,816,5,0.003676471,catch,1.65E-12,-64.5787,2864.707868,1,2864.707868,-99
1,1,59,1,0,817,2,0.029375765,catch,0.262867,52.5955,-0.455409984,0,0.455409984,-99
1,1,59,1,0,817,3,0.454100367,catch,0.510596,43.5035,-0.079063525,0,0.079063525,-99
1,1,59,1,0,817,4,0.512851897,catch,0.155135,-500.994,0.908206404,1,0.908206404,-99
1,1,59,1,0,817,5,0.003671971,catch,1.64E-12,-64.5931,2869.804479,1,2869.804479,-99
1,1,60,1,0,794,2,0.031486146,catch,0.226827,49.366,-0.410152825,0,0.410152825,-99
1,1,60,1,0,794,3,0.457178841,catch,0.527641,52.033,-0.097003337,0,0.097003337,-99
1,1,60,1,0,794,4,0.508816121,catch,0.188704,-400.73,0.736905106,1,0.736905106,-99
1,1,60,1,0,794,5,0.002518892,catch,1.62E-12,-42.3236,1976.206205,1,1976.206205,-99
1,1,61,1,0,831,2,0.033694344,catch,0.189432,48.3475,-0.357821936,0,0.357821936,-99
1,1,61,1,0,831,3,0.475330927,catch,0.494319,15.472,-0.027007056,0,0.027007056,-99
1,1,61,1,0,831,4,0.487364621,catch,0.205473,-349.798,0.621877417,1,0.621877417,-99
1,1,61,1,0,831,5,0.003610108,catch,1.49E-12,-64.8279,2959.115106,1,2959.115106,-99
1,1,62,1,0,787,2,0.026683609,catch,0.13738,34.4127,-0.298656319,0,0.298656319,-99
1,1,62,1,0,787,3,0.444726811,catch,0.0827298,-588.658,1.258560209,1,1.258560209,-99
1,1,62,1,0,787,4,0.524777637,catch,0.0368487,-1096.99,2.541824078,1,2.541824078,-99
1,1,62,1,0,787,5,0.003811944,catch,2.30E-13,-70.5932,7948.366491,1,7948.366491,-99
1,1,63,1,0,815,2,0.029447853,catch,0.320042,57.26,-0.513669022,0,0.513669022,-99
1,1,63,1,0,815,3,0.43803681,catch,0.122555,-454.726,0.901174318,1,0.901174318,-99
1,1,63,1,0,815,4,0.53006135,catch,0.0411235,-1104.37,2.411063359,1,2.411063359,-99
1,1,63,1,0,815,5,0.002453988,catch,2.19E-13,-46.28,5244.72503,1,5244.72503,-99
1,1,64,1,0,808,2,0.022277228,catch,0.402979,52.1158,-0.599713315,0,0.599713315,-99
1,1,64,1,0,808,3,0.455445545,catch,0.194908,-312.339,0.590140586,1,0.590140586,-99
1,1,64,1,0,808,4,0.51980198,catch,0.0508128,-976.626,2.080540911,1,2.080540911,-99
1,1,64,1,0,808,5,0.002475248,catch,2.18E-13,-46.302,5296.516497,1,5296.516497,-99
1,1,65,1,0,815,2,0.03190184,catch,0.400117,65.7564,-0.582114159,0,0.582114159,-99
1,1,65,1,0,815,3,0.435582822,catch,0.256565,-187.902,0.353425242,1,0.353425242,-99
1,1,65,1,0,815,4,0.53006135,catch,0.0614238,-931.045,1.89090079,1,1.89090079,-99
1,1,65,1,0,815,5,0.002453988,catch,2.05E-13,-46.413,5422.015603,1,5422.015603,-99
1,1,66,1,0,789,2,0.02661597,catch,0.14529,35.6417,-0.311342086,0,0.311342086,-99
1,1,66,1,0,789,3,0.446134347,catch,0.0255609,-1006.56,2.630593724,1,2.630593724,-99
1,1,66,1,0,789,4,0.523447402,catch,0.00485953,-1932.63,7.439182652,1,7.439182652,-99
1,1,66,1,0,789,5,0.003802281,catch,1.24E-14,-79.3461,34141.77784,1,34141.77784,-99
1,1,67,1,0,803,2,0.02739726,catch,0.360164,56.6746,-0.554484948,0,0.554484948,-99
1,1,67,1,0,803,3,0.455790785,catch,0.0797256,-638.1,1.331877343,1,1.331877343,-99
1,1,67,1,0,803,4,0.515566625,catch,0.00777065,-1736.69,5.760505295,1,5.760505295,-99
1,1,67,1,0,803,5,0.00124533,catch,1.26E-14,-25.3155,11087.42001,1,11087.42001,-99
1,1,68,1,0,809,2,0.033374536,catch,0.44888,70.172,-0.620171224,0,0.620171224,-99
1,1,68,1,0,809,3,0.467243511,catch,0.166871,-389.201,0.735308777,1,0.735308777,-99
1,1,68,1,0,809,4,0.494437577,catch,0.0155234,-1384.43,3.843830862,1,3.843830862,-99
1,1,68,1,0,809,5,0.004944376,catch,1.30E-14,-106.649,43319.41625,1,43319.41625,-99
1,1,69,1,0,830,2,0.028915663,catch,0.368287,61.0675,-0.55921906,0,0.55921906,-99
1,1,69,1,0,830,3,0.465060241,catch,0.188332,-348.929,0.637663301,1,0.637663301,-99
1,1,69,1,0,830,4,0.501204819,catch,0.0211376,-1317.04,3.301978295,1,3.301978295,-99
1,1,69,1,0,830,5,0.004819277,catch,9.72E-15,-107.719,48889.34663,1,48889.34663,-99
1,1,70,1,0,804,2,0.029850746,catch,0.416143,63.2357,-0.598817802,0,0.598817802,-99
1,1,70,1,0,804,3,0.457711443,catch,0.265708,-200.133,0.37248321,1,0.37248321,-99
1,1,70,1,0,804,4,0.508706468,catch,0.0361034,-1082,2.48726744,1,2.48726744,-99
1,1,70,1,0,804,5,0.003731343,catch,1.03E-14,-79.8603,36848.21306,1,36848.21306,-99
1,1,71,1,0,807,2,0.029739777,catch,0.388158,61.6542,-0.575288658,0,0.575288658,-99
1,1,71,1,0,807,3,0.473358116,catch,0.315399,-155.097,0.281264253,1,0.281264253,-99
1,1,71,1,0,807,4,0.494423792,catch,0.0517593,-900.459,1.945720656,1,1.945720656,-99
1,1,71,1,0,807,5,0.002478315,catch,1.01E-14,-52.4581,24697.22708,1,24697.22708,-99
1,1,72,1,0,820,2,0.031707317,catch,0.378442,64.4674,-0.563634568,0,0.563634568,-99
1,1,72,1,0,820,3,0.486585366,catch,0.38279,-95.7302,0.167763575,1,0.167763575,-99
1,1,72,1,0,820,4,0.481707317,catch,0.0752225,-733.47,1.482075906,1,1.482075906,-99
1,1,73,1,0,830,2,0.034939759,catch,0.320606,64.281,-0.504513855,0,0.504513855,-99
1,1,73,1,0,830,3,0.477108434,catch,0.38935,-80.4926,0.140643211,1,0.140643211,-99
1,1,73,1,0,830,4,0.487951807,catch,0.0908168,-680.956,1.317816904,1,1.317816904,-99
1,1,74,1,0,825,2,0.035151515,catch,0.308402,62.9804,-0.492042196,0,0.492042196,-99
1,1,74,1,0,825,3,0.467878788,catch,0.42843,-33.9997,0.060268964,1,0.060268964,-99
1,1,74,1,0,825,4,0.494545455,catch,0.116591,-589.545,1.106896348,1,1.106896348,-99
1,1,74,1,0,825,5,0.002424242,catch,1.20E-14,-52.0664,22147.65249,1,22147.65249,-99
1,1,75,1,0,823,2,0.02673147,catch,0.283392,51.9418,-0.482131263,0,0.482131263,-99
1,1,75,1,0,823,3,0.469015796,catch,0.459961,-7.52468,0.013351134,1,0.013351134,-99
1,1,75,1,0,823,4,0.500607533,catch,0.14431,-512.469,0.937917421,1,0.937917421,-99
1,1,75,1,0,823,5,0.0036452,catch,1.37E-14,-78.93,31189.29858,1,31189.29858,-99
1,1,76,1,0,818,2,0.036674817,catch,0.25573,58.261,-0.433174312,0,0.433174312,-99
1,1,76,1,0,818,3,0.447432763,catch,0.489354,32.7792,-0.059926998,0,0.059926998,-99
1,1,76,1,0,818,4,0.512224939,catch,0.175854,-447.957,0.802125535,1,0.802125535,-99
1,1,76,1,0,818,5,0.003667482,catch,1.62E-14,-78.4449,28854.65021,1,28854.65021,-99
1,1,77,1,0,815,2,0.03190184,catch,0.22459,50.7419,-0.406592928,0,0.406592928,-99
1,1,77,1,0,815,3,0.463803681,catch,0.512411,37.6736,-0.067903545,0,0.067903545,-99
1,1,77,1,0,815,4,0.500613497,catch,0.210094,-354.258,0.633823677,1,0.633823677,-99
1,1,77,1,0,815,5,0.003680982,catch,1.96E-14,-77.8716,26273.56369,1,26273.56369,-99
1,1,78,1,0,804,2,0.029850746,catch,0.188638,44.2468,-0.365595672,0,0.365595672,-99
1,1,78,1,0,804,3,0.471393035,catch,0.496642,19.775,-0.035827942,0,0.035827942,-99
1,1,78,1,0,804,4,0.497512438,catch,0.231533,-305.959,0.552766372,1,0.552766372,-99
1,1,78,1,0,804,5,0.001243781,catch,2.29E-14,-24.7168,8214.152451,1,8214.152451,-99
1,1,79,1,0,815,2,0.03190184,catch,0.172835,43.9315,-0.33899816,0,0.33899816,-99
1,1,79,1,0,815,3,0.483435583,catch,0.502,14.8471,-0.026201699,0,0.026201699,-99
1,1,79,1,0,815,4,0.482208589,catch,0.264078,-236.638,0.424473381,1,0.424473381,-99
1,1,79,1,0,815,5,0.002453988,catch,2.87E-14,-50.3418,14478.59746,1,14478.59746,-99
1,1,80,1,0,836,2,0.029904306,catch,0.147276,39.8576,-0.305842181,0,0.305842181,-99
1,1,80,1,0,836,3,0.460526316,catch,0.369485,-84.8001,0.149775273,1,0.149775273,-99
1,1,80,1,0,836,4,0.507177033,catch,0.216946,-360.066,0.62311474,1,0.62311474,-99
1,1,80,1,0,836,5,0.002392344,catch,2.67E-14,-50.436,14636.22443,1,14636.22443,-99
1,1,15,2,0,798,1,0.003759398,catch,0.23942,12.4619,-0.481622501,0,0.481622501,-99
1,1,15,2,0,798,2,0.357142857,catch,0.523797,109.146,-0.230268542,0,0.230268542,-99
1,1,15,2,0,798,3,0.587719298,catch,0.22329,-453.889,0.771220647,1,0.771220647,-99
1,1,15,2,0,798,4,0.051378446,catch,0.0134936,-54.8171,0.326138156,1,0.326138156,-99
1,1,16,2,0,995,1,0.003015075,catch,0.126017,11.1984,-0.346495293,0,0.346495293,-99
1,1,16,2,0,995,2,0.250251256,catch,0.491643,168.146,-0.344268654,0,0.344268654,-99
1,1,16,2,0,995,3,0.620100503,catch,0.350415,-352.162,0.455581685,1,0.455581685,-99
1,1,16,2,0,995,4,0.126633166,catch,0.0319253,-173.615,0.530052097,1,0.530052097,-99
1,1,17,2,0,994,1,0.003018109,catch,0.435602,14.9163,-0.655428634,0,0.655428634,-99
1,1,17,2,0,994,2,0.294768612,catch,0.34625,47.1644,-0.087489384,0,0.087489384,-99
